296	190	2
314	123	2
315	122	1
322	192	2
323	189	1
335	173	2
338	180	2
339	181	2
340	191	2
396	166	1
398	48	2
402	58	1
403	46	2
410	76	1
411	82	2
413	33	1
416	29	1
473	179	2
477	52	2
479	90	1
482	57	1
486	60	2
487	61	2
509	194	2
513	199	1
517	3	1
520	6	1
537	24	1
538	26	1
539	28	2
550	188	2
551	187	2
552	186	1
553	185	2
554	184	2
555	183	1
556	182	1
558	139	2
559	138	1
565	111	1
566	111	2
583	2	2
584	21	2
585	23	1
586	38	1
587	148	1
589	177	2
590	198	2
607	51	1
608	51	2
609	73	1
610	40	1
611	39	2
616	42	2
617	16	2
618	37	1
622	43	2
623	107	1
624	106	2
626	109	1
627	108	2
628	114	2
629	113	1
630	131	2
631	130	1
632	120	1
633	121	2
634	128	1
635	129	2
636	133	2
637	132	1
639	161	2
644	22	1
645	63	1
646	77	1
649	75	1
652	74	1
662	34	1
663	68	1
667	222	1
675	209	1
676	100	1
679	12	2
680	4	1
681	54	2
682	89	1
683	210	2
684	45	2
685	56	1
686	59	2
687	211	1
688	212	2
689	47	2
691	217	1
692	221	2
693	134	1
694	135	2
695	50	2
696	213	1
697	214	2
699	207	2
700	195	2
701	220	2
702	162	2
707	20	2
708	204	1
709	205	1
710	208	2
711	7	2
712	95	1
713	5	2
714	41	2
715	83	1
716	215	2
717	32	2
718	36	2
719	219	2
720	178	2
721	94	1
723	110	1
724	88	2
741	69	1
742	70	1
745	159	2
746	158	2
748	151	2
750	66	1
752	65	1
758	224	2
761	79	1
762	79	2
763	92	1
764	92	2
766	72	2
767	81	2
768	84	2
769	98	2
770	143	2
775	225	2
776	226	2
777	227	2
778	152	2
779	153	2
780	154	2
781	155	2
782	156	2
783	157	2
787	13	2
788	35	1
789	96	1
790	78	2
801	119	2
802	118	1
816	252	1
817	251	1
818	244	1
823	248	1
824	248	2
825	249	1
826	249	2
827	250	1
828	250	2
840	145	1
841	146	1
858	253	1
859	253	2
860	254	1
870	141	1
871	141	2
872	142	1
873	142	2
874	150	2
875	167	2
876	168	2
877	169	2
879	171	2
880	174	2
881	218	2
882	255	1
884	256	1
885	257	1
886	258	1
887	259	1
889	261	1
890	262	1
891	263	1
892	234	1
893	235	2
894	246	1
895	116	1
896	203	1
897	117	2
899	200	1
900	201	2
916	275	2
917	276	2
920	272	1
921	271	1
922	270	1
923	273	1
924	267	1
925	269	1
926	274	2
927	265	1
928	266	1
1057	105	2
1058	8	1
1059	8	2
1060	10	1
1061	19	2
1062	93	1
1063	144	1
1064	202	2
1065	247	1
1066	247	2
1067	268	1
1068	545	2
1069	546	2
1070	547	2
1071	548	2
1072	549	2
1073	550	2
